sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,is_recid,is_violent_recid,score_text,charge_degree
Male,38,Caucasian,0,2,0,0,4,-1,1,0,Low,M
Male,46,Caucasian,3,6,1,0,9,-1,0,0,Medium,F
Male,22,African-American,0,4,0,1,1,-1,1,0,Low,F
Female,34,Caucasian,0,1,0,0,0,0,0,0,Low,M
Male,22,African-American,0,10,1,2,2,70,1,0,High,F
Male,29,African-American,0,9,0,0,4,-1,1,0,High,F
Male,62,Hispanic,0,1,0,0,0,0,0,0,Low,M
Male,27,African-American,0,6,1,0,6,0,1,0,Medium,F
Male,33,Other,0,1,0,0,0,-1,0,0,Low,M
Female,56,African-American,0,1,0,0,0,0,0,0,Low,M
Male,45,Hispanic,0,1,0,0,6,-1,1,1,Low,F
Male,22,Hispanic,0,4,0,0,1,-1,0,0,Low,F
Female,31,Caucasian,0,3,0,0,2,-1,0,0,Low,F
Male,34,African-American,0,4,0,0,0,0,0,0,Low,F
Male,39,African-American,0,4,0,0,1,-1,0,0,Low,M
Male,24,African-American,0,6,1,0,4,-1,0,0,Medium,M
Male,29,African-American,0,6,0,0,5,0,1,0,Medium,F
Male,27,Caucasian,0,6,0,1,1,-1,1,0,Medium,F
Female,24,Hispanic,0,4,0,0,1,-325,0,0,Low,M
Male,40,African-American,0,2,0,0,2,-15,0,0,Low,F
Male,51,African-American,0,1,0,0,1,-78,0,0,Low,F
Male,22,African-American,0,3,0,0,1,0,1,0,Low,M
Male,22,Caucasian,0,8,0,0,0,-1,0,0,High,F
Female,26,African-American,0,4,0,0,1,-1,1,1,Low,F
Male,27,Caucasian,0,7,0,0,1,-43,1,1,Medium,F
Male,32,Caucasian,0,1,0,0,3,-389,0,0,Low,M
Male,32,African-American,0,2,0,0,0,-1,0,0,Low,F
Male,41,African-American,0,2,0,0,1,-1,0,0,Low,M
Male,50,Caucasian,0,1,0,0,0,-1,0,0,Low,M
Male,30,African-American,0,10,0,0,8,-1,1,1,High,M
Male,66,African-American,0,9,0,0,0,-1,0,0,High,M
Male,52,African-American,0,5,0,0,3,-318,0,0,Medium,F
Male,22,Caucasian,0,6,0,0,3,-5,0,0,Medium,F
Male,50,Other,0,1,0,0,0,-1,1,0,Low,F
Male,25,African-American,1,10,6,1,14,-1,1,1,High,F
Male,20,Other,0,5,0,0,0,-1,1,1,Medium,F
Male,22,African-American,1,9,0,0,2,0,1,0,High,F
Male,23,African-American,0,7,0,1,2,137,1,0,Medium,M
Male,54,African-American,0,6,0,0,6,-1,0,0,Medium,F
Male,40,Caucasian,0,5,0,0,4,-1,0,0,Medium,F
Male,25,African-American,0,7,0,0,10,-181,0,0,Medium,F
Female,35,African-American,0,2,0,0,1,-1,0,0,Low,M
Male,36,African-American,0,7,0,0,9,0,1,0,Medium,F
Male,26,Caucasian,0,8,0,0,7,0,1,0,High,F
Male,21,Other,0,6,0,0,1,0,1,0,Medium,F
Male,30,Caucasian,0,5,0,1,6,-239,0,0,Medium,F
Male,25,Caucasian,0,8,0,0,9,-1,1,1,High,F
Male,34,African-American,0,3,0,0,3,-21,0,0,Low,M
Female,20,Caucasian,0,7,0,0,0,-1,0,0,Medium,F
Male,39,Caucasian,0,1,0,0,2,-2,1,0,Low,F
Male,66,Caucasian,0,1,0,0,3,-64,0,0,Low,F
Female,54,Caucasian,0,1,0,0,0,0,0,0,Low,M
Female,44,Hispanic,0,1,0,0,0,-2,0,0,Low,M
Male,19,African-American,0,4,0,0,1,-10,1,1,Low,M
Male,24,African-American,0,2,0,0,1,-137,0,0,Low,F
Male,30,African-American,0,2,0,0,1,-1,0,0,Low,F
Female,39,Caucasian,0,1,0,0,0,-1,1,1,Low,F
Female,32,African-American,0,3,0,0,8,0,0,0,Low,M
Male,24,Caucasian,0,6,1,2,8,-1,1,0,Medium,F
Male,30,Caucasian,0,4,0,0,0,-1,0,0,Low,F
Male,31,Caucasian,0,5,0,0,0,-1,0,0,Medium,M
Female,39,Caucasian,0,4,0,0,1,-1,0,0,Low,F
Male,59,African-American,0,9,0,0,14,178,1,1,High,F
Male,35,Caucasian,0,6,0,0,7,0,0,0,Medium,F
Female,24,Other,0,3,0,0,0,-1,0,0,Low,F
Male,43,Caucasian,0,1,0,0,1,-30,0,0,Low,F
Male,21,African-American,1,9,0,1,2,-1,0,0,High,F
Female,21,African-American,0,4,0,0,0,-1,0,0,Low,M
Male,21,African-American,0,9,0,0,3,-1,1,0,High,F
Male,27,African-American,0,7,0,0,0,-1,0,0,Medium,F
Male,20,African-American,0,8,0,0,0,0,0,0,High,F
Male,38,Caucasian,0,4,0,0,5,-1,1,0,Low,M
Male,27,African-American,0,9,0,0,3,-1,0,0,High,F
Male,34,Caucasian,0,5,0,0,0,0,0,0,Medium,F
Male,30,African-American,0,3,0,0,3,0,0,0,Low,F
Male,33,African-American,0,5,0,0,5,0,1,0,Medium,F
Male,37,African-American,0,2,0,0,3,0,0,0,Low,F
Male,42,Caucasian,0,2,0,0,1,0,1,0,Low,F
Male,41,African-American,0,9,1,0,10,0,1,0,High,F
Male,22,African-American,0,4,0,0,0,-1,1,0,Low,F
Male,33,African-American,0,8,12,2,28,-1,1,0,High,F
Male,44,Caucasian,0,1,0,0,0,-3,0,0,Low,M
Male,31,African-American,0,7,0,0,1,-1,0,0,Medium,M
Male,26,African-American,0,8,0,0,9,0,0,0,High,F
Female,30,Other,0,2,0,0,1,-1,0,0,Low,F
Male,31,Caucasian,0,10,0,0,13,-1,1,1,High,F
Male,27,African-American,0,9,0,0,3,-1,1,0,High,F
Female,31,Caucasian,0,2,0,0,1,-1,0,0,Low,F
Male,47,Hispanic,0,1,0,0,2,-1,0,0,Low,F
Male,56,African-American,0,9,0,0,8,67,0,0,High,F
Male,33,Asian,0,8,0,0,2,14,0,0,High,M
Male,52,Caucasian,0,9,0,0,3,-2,0,0,High,M
Male,33,African-American,0,10,0,0,19,-1,1,0,High,F
Male,61,Caucasian,0,4,0,0,0,-1,0,0,Low,F
Female,64,Caucasian,0,1,0,0,2,-47,0,0,Low,M
Male,22,Caucasian,0,6,0,0,4,-36,1,0,Medium,F
Male,42,Caucasian,0,3,0,0,6,-4,0,0,Low,F
Female,25,Caucasian,0,4,0,0,2,-1,0,0,Low,F
Male,27,Caucasian,0,1,0,0,0,-1,0,0,Low,F
Male,30,Caucasian,0,2,0,0,1,-20,0,0,Low,M
Female,37,Other,0,2,0,0,2,-1,0,0,Low,M
Male,21,Caucasian,0,5,0,0,1,-1,0,0,Medium,F
Male,28,Caucasian,0,2,0,0,0,-1,1,0,Low,M
Female,24,African-American,0,2,0,0,0,-1,0,0,Low,M
Male,37,African-American,0,8,0,0,13,-29,0,0,High,F
Male,22,African-American,0,9,0,0,0,-1,0,0,High,F
Female,29,Caucasian,0,4,1,0,10,-1,1,0,Low,F
Female,25,Caucasian,0,3,0,0,0,-1,0,0,Low,F
Male,44,Caucasian,0,2,0,0,2,0,1,0,Low,M
Female,30,Hispanic,0,5,0,0,4,-35,1,1,Medium,F
Male,32,African-American,0,7,0,0,3,-1,1,0,Medium,F
Male,53,Hispanic,0,4,0,0,1,-1,0,0,Low,F
Male,34,Other,0,2,0,0,1,0,0,0,Low,M
Male,31,Caucasian,0,3,0,0,2,-16,1,0,Low,M
Male,27,African-American,0,10,0,0,5,20,0,0,High,F
Male,31,African-American,0,2,0,0,1,-1,1,0,Low,M
Male,59,Caucasian,0,2,0,0,1,-1,1,0,Low,F
Male,28,African-American,0,10,0,0,15,0,0,0,High,F
Male,23,Caucasian,0,3,0,0,0,-1,0,0,Low,M
Female,20,African-American,1,10,0,0,1,0,0,0,High,F
Male,42,African-American,0,1,0,0,2,-41,0,0,Low,F
Female,43,Caucasian,0,1,0,0,0,0,0,0,Low,M
Male,38,African-American,1,8,1,0,9,-1,1,0,High,F
Male,32,African-American,0,6,0,0,11,-2,1,1,Medium,F
Male,33,African-American,0,5,0,0,8,-1,1,1,Medium,M
Male,55,African-American,0,8,0,0,4,-1,0,0,High,M
Female,31,African-American,0,3,0,0,0,-1,1,0,Low,F
Female,33,African-American,0,9,0,0,7,-1,1,0,High,F
Male,27,African-American,0,9,0,0,2,-1,1,0,High,F
Male,52,African-American,0,1,0,0,0,-1,0,0,Low,M
Female,20,African-American,0,6,0,0,0,0,0,0,Medium,F
Female,26,Caucasian,0,6,0,0,0,-2,0,0,Medium,M
Male,25,African-American,0,10,0,0,4,-1,0,0,High,M
Female,61,African-American,0,1,0,0,1,-1,1,0,Low,F
Male,52,Other,0,7,0,0,13,-1,1,0,Medium,F
Male,63,Hispanic,0,1,0,0,1,-26,0,0,Low,F
Female,32,African-American,0,10,0,0,4,-7,1,1,High,F
Male,29,Hispanic,0,4,0,0,1,-1,0,0,Low,F
Female,26,African-American,0,4,0,0,2,-1,1,0,Low,M
Male,55,African-American,0,1,0,0,3,-51,0,0,Low,M
Male,39,Caucasian,1,4,0,0,1,-1,0,0,Low,O
Female,30,Caucasian,0,7,0,0,3,0,1,0,Medium,F
Male,30,African-American,0,7,0,0,1,0,0,0,Medium,F
Male,48,Caucasian,0,2,0,0,2,-1,0,0,Low,M
Male,33,Caucasian,0,1,0,0,0,-1,0,0,Low,M
Male,22,African-American,0,2,0,0,1,-1,0,0,Low,F
Male,46,Caucasian,0,1,0,0,6,22,1,0,Low,F
Male,41,Caucasian,0,10,0,0,5,-1,0,0,High,F
Female,49,Caucasian,0,6,0,0,6,-56,0,0,Medium,F
Male,31,Caucasian,0,5,0,0,0,0,0,0,Medium,F
Male,31,African-American,0,1,0,0,0,-1,0,0,Low,M
Male,25,African-American,0,2,0,0,1,-1,1,0,Low,M
Male,31,African-American,0,3,0,0,3,-19,0,0,Low,F
Female,21,African-American,0,6,0,0,0,-4,0,0,Medium,M
Male,23,Hispanic,0,3,0,0,0,-1,0,0,Low,F
Female,32,African-American,0,7,0,0,5,-1,0,0,Medium,F
Male,52,Hispanic,0,1,0,0,2,-1,0,0,Low,M
Male,62,African-American,0,4,0,0,8,0,0,0,Low,F
Male,30,African-American,0,6,0,0,2,-188,0,0,Medium,M
Female,37,Caucasian,0,10,0,0,6,-110,0,0,High,F
Male,55,Caucasian,0,1,0,0,1,-45,0,0,Low,F
Male,31,Hispanic,0,9,0,0,8,29,1,0,High,F
Male,28,African-American,0,6,0,0,6,-1,1,1,Medium,M
Male,54,Hispanic,0,1,0,0,2,-1,0,0,Low,F
Male,58,Hispanic,0,2,0,0,0,-1,0,0,Low,F
Male,78,Caucasian,0,1,0,0,1,-1,1,0,Low,M
Male,56,Caucasian,0,1,0,0,0,-1,0,0,Low,F
Male,21,Hispanic,0,10,0,0,1,-155,0,0,High,M
Male,24,Other,0,2,0,0,0,-1,0,0,Low,F
Male,38,African-American,2,8,2,1,22,-34,1,0,High,F
Male,39,African-American,0,5,0,0,3,-1,0,0,Medium,M
Male,35,Caucasian,0,1,0,0,0,-1,0,0,Low,F
Male,22,African-American,0,5,0,0,1,0,1,0,Medium,F
Male,47,African-American,0,8,0,0,23,-1,1,0,High,M
Male,23,African-American,0,2,0,0,0,-1,1,0,Low,M
Male,57,Hispanic,0,1,0,0,1,0,0,0,Low,F
Female,38,Caucasian,0,5,0,0,2,-35,1,0,Medium,F
Male,66,African-American,0,1,0,0,3,-10,1,1,Low,F
Male,45,Caucasian,0,4,0,0,8,0,1,0,Low,M
Female,28,Caucasian,0,5,0,0,0,-2,0,0,Medium,M
Male,45,Other,0,1,0,0,2,-117,0,0,Low,F
Male,32,African-American,0,10,0,0,13,289,1,0,High,F
Male,37,African-American,0,9,0,0,2,0,1,1,High,M
Male,39,Caucasian,0,4,0,0,0,0,1,0,Low,F
Male,26,African-American,0,9,0,0,9,0,1,0,High,F
Male,25,African-American,0,8,0,0,3,-1,0,0,High,F
Male,45,Caucasian,0,3,0,0,2,-1,0,0,Low,F
Female,57,Caucasian,0,9,0,0,7,0,0,0,High,F
Male,23,African-American,0,3,0,0,0,-1,1,1,Low,F
Male,34,African-American,0,2,0,0,2,0,1,0,Low,M
Male,38,African-American,0,10,0,0,14,0,0,0,High,F
Female,23,African-American,0,4,0,0,1,-1,0,0,Low,M
Male,36,Other,0,3,0,0,2,-1,1,0,Low,M
Male,50,Caucasian,0,1,0,0,1,-4,0,0,Low,F
Female,37,Caucasian,0,3,0,0,0,-1,0,0,Low,M
Male,44,Caucasian,0,4,0,0,4,0,0,0,Low,M
Female,35,African-American,0,9,1,0,23,-1,1,0,High,F
Male,31,Caucasian,0,1,0,0,1,-36,0,0,Low,F
Male,24,Other,0,5,0,0,5,-1,1,0,Medium,F
Male,40,Asian,0,1,0,0,3,-108,0,0,Low,F
Male,26,African-American,0,10,0,0,2,-1,1,0,High,F
Male,37,Other,0,6,0,0,1,-1,0,0,Medium,F
Male,27,African-American,0,2,0,0,0,-1,0,0,Low,M
Female,31,Caucasian,0,3,0,0,1,-1,0,0,Low,M
Female,28,African-American,0,8,0,0,0,0,0,0,High,F
Male,43,Caucasian,0,5,0,0,11,49,1,1,Medium,F
Female,28,Caucasian,0,9,0,0,7,-1,1,0,High,F
Male,38,African-American,0,1,0,0,0,0,0,0,Low,F
Male,38,African-American,0,1,0,0,2,-1,0,0,Low,F
Male,27,Caucasian,0,4,0,0,2,-36,0,0,Low,M
Female,28,African-American,0,9,0,0,1,-1,0,0,High,F
Male,21,African-American,1,7,0,0,1,-1,0,0,Medium,F
Male,56,Caucasian,0,1,0,0,7,-1,1,0,Low,F
Male,38,African-American,0,9,0,0,15,-1,0,0,High,F
Male,28,African-American,0,5,0,0,2,-1,0,0,Medium,M
Male,45,African-American,0,6,0,0,3,104,0,0,Medium,F
Female,24,Other,0,2,0,0,1,-1,0,0,Low,F
Male,61,Caucasian,0,1,0,0,1,-34,0,0,Low,F
Female,51,Caucasian,0,1,0,0,0,-1,1,1,Low,M
Male,51,Caucasian,0,2,0,0,0,-1,0,0,Low,M
Male,20,Caucasian,0,4,0,1,0,0,0,0,Low,F
Male,36,Other,0,1,0,0,1,-1,1,0,Low,M
Male,48,African-American,0,1,0,0,0,-1,0,0,Low,F
Male,37,Caucasian,0,3,0,0,4,0,1,0,Low,F
Female,30,African-American,0,7,0,0,2,-1,0,0,Medium,F
Female,41,African-American,0,6,0,0,5,0,0,0,Medium,M
Male,27,African-American,0,10,0,0,11,-1,1,0,High,F
Male,37,African-American,0,1,0,0,0,-1,1,1,Low,M
Male,33,Other,0,4,0,0,4,0,1,0,Low,F
Male,54,African-American,0,9,0,0,11,-1,0,0,High,F
Male,23,African-American,0,9,0,0,2,-1,0,0,High,F
Male,22,African-American,0,6,0,0,0,-1,0,0,Medium,F
Female,26,African-American,0,4,0,0,2,-227,1,0,Low,F
Female,23,African-American,0,6,2,0,3,0,0,0,Medium,F
Male,41,African-American,0,1,0,0,0,0,0,0,Low,M
Male,52,Caucasian,0,1,0,0,0,-1,0,0,Low,F
Male,43,Caucasian,0,4,0,0,13,0,1,0,Low,F
Male,52,African-American,0,4,0,0,0,-1,0,0,Low,F
Male,28,Caucasian,0,1,0,0,1,-3,0,0,Low,F
Male,30,African-American,0,9,0,2,11,-1,1,1,High,M
Male,28,Caucasian,0,5,0,0,1,0,0,0,Medium,F
Male,47,Caucasian,0,2,0,0,1,-38,0,0,Low,F
Female,34,African-American,0,2,0,0,0,-1,0,0,Low,M
Male,22,African-American,0,4,0,0,0,-1,0,0,Low,F
Male,30,African-American,0,2,0,0,4,0,0,0,Low,F
Male,25,Hispanic,0,4,0,0,4,0,0,0,Low,F
Male,31,Caucasian,0,8,0,0,0,-1,1,0,High,F
Male,37,Caucasian,0,2,0,0,0,-1,1,0,Low,F
Male,32,African-American,0,9,1,0,14,-1,0,0,High,F
Male,26,African-American,0,8,1,0,4,649,0,0,High,M
Male,53,Caucasian,0,1,0,0,1,-1,0,0,Low,M
Male,28,African-American,0,8,0,0,25,29,1,0,High,F
Male,44,Caucasian,0,5,0,0,8,-1,1,0,Medium,M
Male,25,African-American,0,3,0,0,0,0,0,0,Low,F
Female,30,Other,0,1,0,0,0,-1,0,0,Low,M
Male,22,Caucasian,0,8,0,1,1,0,1,0,High,M
Female,30,African-American,1,8,0,0,2,-153,0,0,High,F
Female,20,African-American,0,5,0,0,0,-1,0,0,Medium,F
Female,37,Other,0,1,0,0,0,-1,0,0,Low,M
Female,33,Caucasian,0,2,0,0,0,-1,0,0,Low,F
Female,47,Caucasian,0,5,0,0,2,-1,0,0,Medium,F
Female,40,Other,0,2,0,0,3,-1,0,0,Low,F
Male,24,Other,0,2,0,0,0,-1,0,0,Low,M
Male,36,Caucasian,0,7,0,0,8,150,1,1,Medium,F
Male,30,Caucasian,0,2,0,0,4,-140,0,0,Low,F
Male,22,African-American,0,9,0,0,3,161,1,1,High,M
Female,24,Caucasian,0,7,0,0,1,-32,1,1,Medium,M
Male,27,African-American,0,2,0,0,3,-44,1,0,Low,M
Female,31,Hispanic,0,2,0,0,0,-1,0,0,Low,M
Male,47,African-American,0,1,0,0,0,-1,0,0,Low,M
Male,23,Hispanic,0,6,0,1,1,-1,1,0,Medium,F
Female,23,Caucasian,0,5,0,4,5,-1,1,0,Medium,F
Male,24,Hispanic,0,8,0,0,0,-3,0,0,High,M
Male,29,African-American,0,3,0,0,1,-1,0,0,Low,M
Male,20,African-American,0,8,0,0,1,-1,1,1,High,F
Male,30,African-American,0,6,0,0,2,-1,1,0,Medium,F
Male,39,Caucasian,0,2,0,0,1,-1,0,0,Low,M
Male,38,African-American,0,4,0,0,1,-1,0,0,Low,M
Male,39,Other,0,1,0,0,0,-1,0,0,Low,F
Male,27,African-American,0,4,0,0,4,-1,0,0,Low,F
Male,18,African-American,2,10,0,0,2,-5,0,0,High,F
Male,31,Caucasian,0,4,0,0,2,812,1,0,Low,M
Female,37,African-American,0,1,0,0,2,0,0,0,Low,F
Male,31,Caucasian,0,2,0,0,0,-1,0,0,Low,F
Male,27,African-American,0,8,0,0,2,-1,0,0,High,F
Male,20,African-American,0,8,0,0,0,-1,0,0,High,F
Male,46,African-American,1,8,0,0,5,-1,0,0,High,M
Male,22,Hispanic,0,7,0,1,0,0,0,0,Medium,F
Female,52,African-American,0,1,0,0,0,-1,0,0,Low,F
Female,23,African-American,0,4,0,0,0,-1,1,0,Low,F
Male,20,African-American,1,7,0,0,1,0,0,0,Medium,F
Female,48,African-American,0,2,0,0,0,-1,0,0,Low,F
Male,25,Caucasian,0,5,0,0,0,0,0,0,Medium,F
Male,27,Caucasian,0,6,0,0,0,-1,1,1,Medium,F
Male,30,African-American,0,7,0,0,11,0,1,0,Medium,F
Male,22,African-American,0,10,1,1,3,-1,1,0,High,M
Female,22,Caucasian,0,3,0,0,1,-1,0,0,Low,F
Male,32,Caucasian,0,4,0,0,2,-232,0,0,Low,F
Female,41,African-American,0,3,0,0,2,-1,0,0,Low,M
Male,35,Caucasian,0,8,0,0,9,0,0,0,High,F
Male,43,African-American,0,1,0,0,0,0,0,0,Low,F
Female,25,Other,0,2,0,0,0,-1,0,0,Low,F
Male,44,African-American,0,7,0,0,24,53,0,0,Medium,M
Male,52,African-American,0,6,0,0,3,0,1,0,Medium,F
Male,43,African-American,0,1,0,0,0,-1,0,0,Low,F
Male,37,African-American,0,1,0,0,0,0,0,0,Low,M
Male,47,Other,0,1,0,0,1,-1,0,0,Low,M
Female,45,Caucasian,0,1,0,0,3,-1,0,0,Low,F
Male,23,African-American,0,4,0,0,2,-1,0,0,Low,F
Male,37,Caucasian,0,1,0,0,3,-4,0,0,Low,F
Male,28,African-American,0,4,0,0,3,299,1,1,Low,M
Male,70,Caucasian,0,1,0,0,1,-13,0,0,Low,M
Male,54,Caucasian,0,2,0,0,6,-266,1,0,Low,F
Male,58,Caucasian,0,7,0,0,9,-1,0,0,Medium,M
Male,46,Caucasian,0,4,0,0,3,-1,0,0,Low,F
Male,21,African-American,0,9,0,0,0,-1,1,0,High,M
Male,26,African-American,0,8,0,0,1,-1,1,1,High,M
Male,38,Hispanic,0,1,0,0,3,23,1,0,Low,F
Male,34,Caucasian,0,4,0,0,5,-1,0,0,Low,M
Female,34,Caucasian,0,8,0,0,0,-1,0,0,High,F
Male,19,African-American,0,5,0,0,1,-48,1,0,Medium,F
Male,34,African-American,0,4,0,0,5,-1,0,0,Low,M
Female,32,African-American,0,4,0,0,3,-26,0,0,Low,M
Male,23,Caucasian,0,5,0,0,0,0,1,0,Medium,F
Male,34,African-American,0,4,0,0,5,-1,1,0,Low,F
Male,30,African-American,0,1,0,0,2,-83,0,0,Low,F
Male,39,African-American,0,3,0,0,6,-1,1,0,Low,F
Male,24,Other,0,3,0,0,0,-1,0,0,Low,F
Male,33,Caucasian,0,3,0,0,1,-93,1,1,Low,M
Male,33,Caucasian,0,2,0,0,0,-1,0,0,Low,F
Male,40,Caucasian,0,4,0,0,6,-39,0,0,Low,M
Male,58,Caucasian,0,3,0,0,2,-1,0,0,Low,F
Female,21,African-American,0,6,0,0,0,0,0,0,Medium,M
Male,44,Asian,0,2,0,0,2,-372,0,0,Low,F
Male,56,African-American,0,8,0,0,13,0,0,0,High,F
Male,27,Caucasian,0,5,0,0,1,0,0,0,Medium,F
Male,21,African-American,0,5,0,0,1,-36,1,0,Medium,F
Male,23,African-American,0,8,0,1,4,-11,1,0,High,M
Male,62,Caucasian,0,1,0,0,0,0,0,0,Low,F
Male,27,African-American,1,8,0,1,4,300,1,0,High,M
Male,57,Other,0,1,0,0,6,-1,0,0,Low,M
Male,37,Caucasian,0,3,0,0,5,-1,0,0,Low,F
Male,43,Other,0,2,0,0,2,-1,1,0,Low,F
Female,32,African-American,0,1,0,0,5,0,0,0,Low,F
Female,33,African-American,0,3,0,0,2,-1,0,0,Low,F
Male,23,Hispanic,0,3,0,0,0,-1,0,0,Low,F
Male,27,African-American,0,1,0,0,0,0,0,0,Low,M
Male,44,Caucasian,0,1,0,0,0,-1,1,0,Low,M
Male,28,Caucasian,0,3,0,0,3,-1,1,0,Low,M
Female,42,Caucasian,0,2,0,0,0,-3,0,0,Low,F
Male,48,African-American,0,5,0,0,5,-1,0,0,Medium,F
Male,24,Other,0,10,1,0,9,-1,1,1,High,F
Male,27,African-American,0,2,0,0,0,0,0,0,Low,F
Male,20,African-American,0,10,0,0,0,-1,1,0,High,F
Male,24,African-American,0,8,0,0,1,-1,0,0,High,F
Male,31,Caucasian,2,10,0,0,6,-1,0,0,High,F
